coin_id,coin_name,currency,timestamp_ms,open,high,low,close,timestamp,pct_change,rolling_7d,rolling_30d,normalized_close
binancecoin,BNB,gbp,1733184000000,516.17,525.18,496.92,511.23,2024-12-03,,511.23,511.23,1.0
binancecoin,BNB,gbp,1733529600000,511.47,622.34,497.92,574.77,2024-12-07,0.12428848072296228,543.0,543.0,1.1242884807229623
binancecoin,BNB,gbp,1733875200000,574.26,597.01,511.11,528.56,2024-12-11,-0.08039737634184119,538.1866666666666,538.1866666666666,1.0338986366214813
binancecoin,BNB,gbp,1734220800000,528.86,580.35,516.31,566.76,2024-12-15,0.07227183290449535,545.3299999999999,545.3299999999999,1.1086203861275745
binancecoin,BNB,gbp,1734566400000,566.81,579.62,546.34,547.24,2024-12-19,-0.03444138612463832,545.712,545.712,1.0704379633433092
binancecoin,BNB,gbp,1734912000000,545.65,559.06,494.83,515.98,2024-12-23,-0.057123017323295056,540.7566666666667,540.7566666666667,1.0092913170197366
binancecoin,BNB,gbp,1735257600000,516.16,571.47,507.76,548.71,2024-12-27,0.06343269118958106,541.8928571428571,541.8928571428571,1.0733133814525753
binancecoin,BNB,gbp,1735603200000,549.41,579.66,544.13,560.39,2024-12-31,0.021286289661205382,548.9157142857142,544.205,1.0961602409874225
binancecoin,BNB,gbp,1735948800000,560.7,577.62,556.16,573.97,2025-01-04,0.02423312336051686,548.8014285714286,547.5122222222221,1.1227236273301646
binancecoin,BNB,gbp,1736294400000,574.62,593.04,554.86,558.53,2025-01-08,-0.026900360646026855,553.0828571428572,548.614,1.0925219568491675
binancecoin,BNB,gbp,1736640000000,558.67,575.51,547.46,570.74,2025-01-12,0.021860956439224477,553.6514285714286,550.6254545454545,1.1164055317567436
binancecoin,BNB,gbp,1736985600000,570.66,584.36,543.6,583.87,2025-01-16,0.023005221291656497,558.8842857142857,553.3958333333334,1.1420886880660368
binancecoin,BNB,gbp,1737331200000,584.7,598.59,554.35,560.66,2025-01-20,-0.039751999588949705,565.2671428571429,553.9546153846154,1.0966883790074917
binancecoin,BNB,gbp,1737676800000,559.48,586.25,539.06,558.49,2025-01-24,-0.003870438411871624,566.6642857142857,554.2785714285714,1.0924437141795278
binancecoin,BNB,gbp,1738022400000,558.99,559.28,512.84,545.5,2025-01-28,-0.023259145195079656,564.5371428571428,553.6933333333333,1.0670344072139741
binancecoin,BNB,gbp,1738368000000,546.38,554.85,529.8,546.01,2025-02-01,0.0009349220898258181,560.5428571428571,553.213125,1.0680320012518827
binancecoin,BNB,gbp,1738713600000,546.3,549.56,426.61,459.69,2025-02-05,-0.1580923426310873,546.4228571428572,547.7117647058824,0.8991843201690042
binancecoin,BNB,gbp,1739059200000,458.88,510.27,448.38,495.63,2025-02-09,0.07818312340925404,535.6928571428572,544.8183333333333,0.9694853588404436
binancecoin,BNB,gbp,1739404800000,493.77,565.08,482.71,560.76,2025-02-13,0.13140851038072765,532.3914285714285,545.6573684210526,1.0968839856815913
binancecoin,BNB,gbp,1739750400000,560.87,584.24,518.22,536.15,2025-02-17,-0.04388686782224127,528.89,545.182,1.0487451831856502
binancecoin,BNB,gbp,1740096000000,535.67,540.71,500.75,518.68,2025-02-21,-0.03258416487923166,523.2028571428572,543.92,1.014572697220429
binancecoin,BNB,gbp,1740441600000,518.29,537.28,484.74,484.74,2025-02-25,-0.06543533585254868,514.5228571428571,541.23,0.9481837920309841
binancecoin,BNB,gbp,1740787200000,485.89,498.21,443.98,467.31,2025-03-01,-0.03595742047283079,503.28000000000003,538.0160869565218,0.9140895487354028
binancecoin,BNB,gbp,1741132800000,466.93,507.19,432.44,455.9,2025-03-05,-0.024416340330829733,502.73857142857145,534.5945833333334,0.8917708272206247
binancecoin,BNB,gbp,1741478400000,455.33,473.81,447.39,459.34,2025-03-09,0.007545514367185868,497.55428571428575,531.5844000000001,0.898499696809655
binancecoin,BNB,gbp,1741824000000,459.41,459.41,397.62,440.26,2025-03-13,-0.04153785866678272,480.34,528.071923076923,0.8611779433914285
binancecoin,BNB,gbp,1742169600000,439.21,479.95,437.79,465.53,2025-03-17,0.057397901240176186,470.2514285714286,525.7555555555556,0.9106077499364278
binancecoin,BNB,gbp,1742515200000,465.83,495.15,465.72,485.94,2025-03-21,0.043842502094387115,465.5742857142856,524.3335714285714,0.9505310721201807
binancecoin,BNB,gbp,1742860800000,486.14,495.28,479.34,492.0,2025-03-25,0.012470675392023622,466.6114285714285,523.2186206896552,0.9623848365706238
binancecoin,BNB,gbp,1743206400000,493.11,499.16,475.87,478.56,2025-03-29,-0.02731707317073173,468.2185714285714,521.73,0.9360952995716214
binancecoin,BNB,gbp,1743552000000,478.48,481.37,455.23,472.8,2025-04-02,-0.012036108324974926,470.6328571428571,520.4490000000001,0.9248283551434775
binancecoin,BNB,gbp,1743897600000,472.57,473.02,439.31,461.3,2025-04-06,-0.024323181049069387,470.9128571428572,516.6666666666666,0.9023335876220097
binancecoin,BNB,gbp,1744243200000,460.9,460.9,405.33,454.23,2025-04-10,-0.015326251896813359,472.90857142857146,514.189,0.8885041957631594
binancecoin,BNB,gbp,1744588800000,454.1,458.34,438.23,446.09,2025-04-14,-0.017920436783127602,470.1314285714285,510.1666666666667,0.8725818124914422
