timestamp,coin_id,coin_name,currency,price,market_cap,volume_24h,change_24h
2025-12-02T09:02:30.106630+00:00,binancecoin,BNB,eur,714.21,98328098944.2864,1642518938.2617145,0.010340765122510864
2025-12-02T09:02:30.106630+00:00,binancecoin,BNB,gbp,627.67,86413634170.09761,1443494099.5739906,-0.009836221534561557
2025-12-02T09:02:30.106630+00:00,binancecoin,BNB,usd,829.25,114165873977.71953,1907080601.8313737,-0.011025144797867108
2025-12-02T09:02:30.106630+00:00,bitcoin,Bitcoin,eur,74489.0,1485231852186.2595,64469730530.175316,-0.372118732903944
2025-12-02T09:02:30.106630+00:00,bitcoin,Bitcoin,gbp,65463.0,1305236722870.3608,56657901138.06592,-0.3922185587381538
2025-12-02T09:02:30.106630+00:00,bitcoin,Bitcoin,usd,86487.0,1724471189207.3774,74853914700.98402,-0.3934029353216835
2025-12-02T09:02:30.106630+00:00,ethereum,Ethereum,eur,2410.82,290642920654.588,24937940119.84049,-1.3606094115937502
2025-12-02T09:02:30.106630+00:00,ethereum,Ethereum,gbp,2118.7,255419928358.15543,21916197481.787243,-1.380509810417871
2025-12-02T09:02:30.106630+00:00,ethereum,Ethereum,usd,2799.13,337459328170.31165,28954711415.694065,-1.3816824358209394
2025-12-02T09:02:30.106630+00:00,ripple,XRP,eur,1.73,104078785600.13359,3439927378.649291,-2.5505303757475706
2025-12-02T09:02:30.106630+00:00,ripple,XRP,gbp,1.52,91465485901.7991,3023109663.0753636,-2.570190709202143
2025-12-02T09:02:30.106630+00:00,ripple,XRP,usd,2.0,120843669566.4225,3993998865.2267356,-2.571349188820839
2025-12-02T09:02:30.106630+00:00,solana,Solana,eur,108.71,60821587045.57396,4485910714.08109,-1.096448533726196
2025-12-02T09:02:30.106630+00:00,solana,Solana,gbp,95.54,53451805018.410576,3942350676.239222,-1.116402226744393
2025-12-02T09:02:30.106630+00:00,solana,Solana,usd,126.22,70618162217.33618,5208459461.310907,-1.1175779924928408
